Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
85236 (1993 KH),1.23398802,0.311236649,12.8048066,293.8535031,54.4000059,0.8499,1.62,1.37,18.6,0.001183,77,APO*,85236 (1993 KH)
85585 Mjolnir,1.29750392,0.356186107,4.083257,95.3428616,2.3643068,0.8354,1.76,1.48,21.6,0.021474,30,APO*,85585 Mjolnir
85640 (1998 OX4),1.58042676,0.485719428,4.5129481,117.1144978,299.7043355,0.8128,2.35,1.99,21.1,0.001104,61,APO*,85640 (1998 OX4)
85713 (1998 SS49),1.92387594,0.639303922,10.7643065,102.4651323,41.4939676,0.6939,3.15,2.67,15.6,0.002677,143,APO*,85713 (1998 SS49)
85774 (1998 UT18),1.40377349,0.329147699,13.5886328,50.0149663,64.7102887,0.9417,1.87,1.66,19.2,0.03569,137,APO*,85774 (1998 UT18)
85938 (1999 DJ4),1.85296946,0.483650031,9.1461285,197.6085108,19.916772,0.9568,2.75,2.52,18.6,0.023302,110,APO*,85938 (1999 DJ4)
85989 (1999 JD6),0.88304805,0.632821025,17.0563333,309.1878041,130.2059498,0.3242,1.44,0.83,17.1,0.047821,288,ATE*,85989 (1999 JD6)
85990 (1999 JV6),1.00806133,0.311452813,5.3195026,235.3381296,124.5555842,0.6941,1.32,1.01,20.2,0.031558,207,APO*,85990 (1999 JV6)
86039 (1999 NC43),1.75958447,0.57911357,7.1225002,120.5896697,311.7874954,0.7406,2.78,2.33,16,0.024463,171,APO*,86039 (1999 NC43)
86819 (2000 GK137),1.99617862,0.505529634,10.0585751,150.2576384,164.9242832,0.9871,3.01,2.82,17.4,0.018231,132,APO*,86819 (2000 GK137)
87684 (2000 SY2),0.85862146,0.642784407,19.2286252,47.7546829,162.0541536,0.3067,1.41,0.8,16,0.045917,140,ATE*,87684 (2000 SY2)
88254 (2001 FM129),1.18212755,0.629611378,1.5211114,140.0266547,272.2736036,0.4378,1.93,1.29,17.6,0.009999,111,APO*,88254 (2001 FM129)
89136 (2001 US16),1.35598759,0.252852909,1.9052283,67.0919768,175.9642637,1.0131,1.7,1.58,20.2,0.028618,155,APO*,89136 (2001 US16)
89830 (2002 CE),2.07683386,0.507546023,43.7017941,5.6757092,19.9331429,1.0227,3.13,2.99,14.9,0.027699,175,AMO*,89830 (2002 CE)
89958 (2002 LY45),1.64139852,0.886397948,9.9605799,222.5729991,188.4883439,0.1865,3.1,2.1,17,0.001442,101,APO*,89958 (2002 LY45)
