Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
(2009 DH39),1.84902876,0.599639169,53.7155355,68.2407099,155.467542,0.7403,2.96,2.51,18.8,0.018113,30,APO*,(2009 DH39)
(2009 DZ42),2.44655477,0.583111281,13.1062124,183.5261778,295.1550067,1.0199,3.87,3.83,19.6,0.037017,20,AMO*,(2009 DZ42)
(2009 DM45),1.17221445,0.367290046,26.6903235,90.8791443,336.3654444,0.7417,1.6,1.27,21.3,0.008607,11,APO*,(2009 DM45)
(2009 DL46),1.46093396,0.307209434,7.9161044,160.283851,63.408069,1.0121,1.91,1.77,22,0.01233,67,APO*,(2009 DL46)
(2009 EV),1.72805122,0.523690134,17.0022912,250.1803363,138.6387919,0.8231,2.63,2.27,19.9,0.030679,8,APO*,(2009 EV)
(2009 EO2),1.71113815,0.480659986,11.4923552,220.4778455,264.7610846,0.8887,2.53,2.24,19.6,0.013171,14,APO*,(2009 EO2)
(2009 EP2),0.92686576,0.356139707,27.7074458,129.8426071,175.1872366,0.5968,1.26,0.89,21.6,0.041572,17,ATE*,(2009 EP2)
(2009 FE),2.53335175,0.610119507,1.9083049,200.9882381,39.8549788,0.9877,4.08,4.03,21.3,0.001302,23,APO*,(2009 FE)
(2009 FF),1.47419037,0.468143942,0.9824297,10.9704762,265.9204409,0.7841,2.16,1.79,21.8,0.014996,18,APO*,(2009 FF)
(2009 FU4),2.38037457,0.616078502,12.9155071,233.0529574,42.1541337,0.9139,3.85,3.67,17.8,0.037056,31,APO*,(2009 FU4)
(2009 FY4),1.01255702,0.32736826,20.9823488,244.6261431,162.6417665,0.6811,1.34,1.02,21,0.043394,35,APO*,(2009 FY4)
(2009 FF19),1.21305037,0.409355567,0.5536917,245.3730709,84.3453493,0.7165,1.71,1.34,21.3,0.004105,25,APO*,(2009 FF19)
(2009 FU23),0.8371775,0.282039028,13.8997529,315.162546,57.8047343,0.6011,1.07,0.77,20,0.033771,27,ATE*,(2009 FU23)
(2009 HV2),1.64101773,0.499162377,6.7276386,260.9962761,38.0098943,0.8219,2.46,2.1,21.3,0.033388,24,APO*,(2009 HV2)
(2009 HA21),1.46039252,0.729062494,6.4145287,219.7715529,205.5003798,0.3957,2.53,1.76,20.8,0.046488,24,APO*,(2009 HA21)
(2009 HD21),2.76935924,0.68829742,18.645443,134.2481441,179.2853251,0.8632,4.68,4.61,18.2,0.012207,41,APO*,(2009 HD21)
(2009 HV58),1.98336408,0.58353894,46.9888937,50.9507773,69.7598561,0.826,3.14,2.79,19.6,0.026416,19,APO*,(2009 HV58)
(2009 JR),1.73000803,0.489352624,8.3974177,295.0025978,225.5416668,0.8834,2.58,2.28,21.4,0.032325,23,APO*,(2009 JR)
(2009 KK),1.5023218,0.455148737,18.2170195,247.3394954,68.1598518,0.8185,2.19,1.84,20.5,1.7E-05,27,APO*,(2009 KK)
(2009 KD3),2.17102649,0.676131206,7.9358382,116.2317184,39.2943083,0.7031,3.64,3.2,21.4,0.027987,8,APO*,(2009 KD3)
(2009 KE3),2.67285382,0.702973371,5.8581733,319.8397995,13.8534105,0.7939,4.55,4.37,18.3,0.032042,26,APO*,(2009 KE3)
(2009 KK8),2.40172079,0.594079634,2.2732278,194.0806878,120.5116424,0.9749,3.83,3.72,18.7,0.008725,22,APO*,(2009 KK8)
(2009 LQ),1.55021457,0.595821626,5.3751459,243.9284064,114.6632478,0.6266,2.47,1.93,21.7,0.042427,14,APO*,(2009 LQ)
(2009 LW2),1.20571617,0.25935796,33.1494223,41.0823976,101.1261993,0.893,1.52,1.32,19.7,0.040891,21,APO*,(2009 LW2)
(2009 OF),2.35277293,0.598954216,9.3731868,218.049389,126.9060496,0.9436,3.76,3.61,21.5,0.006076,23,APO*,(2009 OF)
(2009 OG),2.70395215,0.858617064,48.3824581,114.1638938,309.4299585,0.3823,5.03,4.45,16.2,0.042368,44,APO*,(2009 OG)
(2009 QL8),1.93083631,0.541512565,4.240452,339.5071233,84.5236306,0.8853,2.98,2.68,19.5,0.028236,30,APO*,(2009 QL8)
(2009 RV1),2.69579379,0.637586399,1.8957895,56.4468803,2.0410514,0.977,4.41,4.43,21.9,0.020996,23,APO*,(2009 RV1)
(2009 RZ3),2.2098348,0.675363578,52.6544264,114.2637214,344.7267736,0.7174,3.7,3.29,18.7,0.044112,19,APO*,(2009 RZ3)
(2009 SB),2.2055446,0.804346649,5.4612861,269.0592279,217.7361798,0.4315,3.98,3.28,20.5,0.025772,19,APO*,(2009 SB)
(2009 SN),1.42501428,0.320534008,26.4141418,37.8096615,344.6684508,0.9682,1.88,1.7,21.7,0.011894,9,APO*,(2009 SN)
(2009 SW17),2.01236331,0.598968472,8.444529,41.7017793,42.7599344,0.807,3.22,2.85,19.9,0.043468,20,APO*,(2009 SW17)
(2009 SG18),3.03868001,0.672750505,58.1550579,204.5236298,177.5911837,0.9944,5.08,5.3,17.8,0.028158,22,APO*,(2009 SG18)
(2009 ST19),2.36107361,0.594812573,6.7279687,336.8783418,0.1956409,0.9567,3.77,3.63,18.3,0.00888,61,APO*,(2009 ST19)
(2009 ST103),2.68693556,0.722092273,15.9295714,233.8452886,227.2420183,0.7467,4.63,4.4,18.1,0.048658,29,APO*,(2009 ST103)
(2009 TK12),1.69559742,0.584667628,3.838368,245.3323516,245.7194438,0.7042,2.69,2.21,20.6,0.013497,35,APO*,(2009 TK12)
(2009 UQ),1.7851738,0.534449734,14.5036261,306.0087471,8.7481042,0.8311,2.74,2.39,21.7,0.017198,12,APO*,(2009 UQ)
(2009 UN3),2.32642967,0.575980155,37.4353862,338.8244964,141.9928867,0.9865,3.67,3.55,18.5,0.024005,71,APO*,(2009 UN3)
(2009 UY17),0.81844689,0.31625335,42.0443286,30.5429799,202.0806532,0.5596,1.08,0.74,20.9,0.015283,9,ATE*,(2009 UY17)
(2009 VW),1.43955299,0.562405169,7.1590276,256.059682,54.4447195,0.6299,2.25,1.73,21.6,0.027769,23,APO*,(2009 VW)
(2009 VZ),1.41227662,0.325111077,12.3076163,221.4266815,233.7040952,0.9531,1.87,1.68,21.3,0.021974,27,APO*,(2009 VZ)
(2009 VA26),1.5130384,0.383680044,38.9482421,307.4605088,230.7358317,0.9325,2.09,1.86,20.7,0.033842,18,APO*,(2009 VA26)
(2009 VQ44),1.34409823,0.726448005,29.789361,237.9190491,46.7808664,0.3677,2.32,1.56,21.9,0.018663,9,APO*,(2009 VQ44)
(2009 WJ1),2.46699618,0.673903155,0.6162273,194.7354528,276.8719659,0.8045,4.13,3.87,21.2,0.007213,14,APO*,(2009 WJ1)
(2009 WM1),1.18052754,0.169053326,25.7665325,162.6032241,240.2777069,0.981,1.38,1.28,20.4,0.000622,27,APO*,(2009 WM1)
(2009 WZ104),0.85535466,0.192643493,9.8347375,10.544025,263.2807389,0.6906,1.02,0.79,20,0.030693,52,ATE*,(2009 WZ104)
(2009 WO106),1.37417369,0.385421201,17.3455276,134.6153384,281.7368193,0.8445,1.9,1.61,19.1,0.049879,15,APO*,(2009 WO106)
(2009 XV),2.56853837,0.687000871,3.3389328,327.0747903,44.5286996,0.804,4.33,4.12,21,0.023029,16,APO*,(2009 XV)
(2009 XT6),2.17885969,0.768194782,5.7407988,81.8098253,265.121935,0.5051,3.85,3.22,20.2,0.002242,22,APO*,(2009 XT6)
(2010 AF30),1.32463978,0.371574369,3.0590526,162.7782676,62.4319022,0.8324,1.82,1.52,21.7,0.043126,24,APO*,(2010 AF30)
(2010 CO1),1.01205539,0.218014399,24.0172442,252.5735977,351.6031412,0.7914,1.23,1.02,21.8,0.022798,16,APO*,(2010 CO1)
(2010 CF19),1.19300171,0.2699496,7.1769952,265.2490509,154.7477831,0.871,1.52,1.3,21.7,0.032704,40,APO*,(2010 CF19)
(2010 CN44),2.8485786,0.676576131,3.8459198,302.9295782,189.7010852,0.9213,4.78,4.81,19.6,0.024558,34,APO*,(2010 CN44)
(2010 DM),2.08056304,0.840875214,5.0286616,220.6612821,141.1197542,0.3311,3.83,3,19,0.032853,25,APO*,(2010 DM)
(2010 DO),1.61289512,0.745659204,11.9331226,116.7536915,154.504444,0.4102,2.82,2.05,21.7,0.017295,14,APO*,(2010 DO)
(2010 DG77),1.79811778,0.463593787,13.3279994,194.8779686,291.4292194,0.9645,2.63,2.41,21.66,0.008367,13,APO*,(2010 DG77)
(2010 DJ77),0.95533453,0.212834614,24.9317692,103.7457254,286.7966933,0.752,1.16,0.93,21.58,0.049783,12,ATE*,(2010 DJ77)
(2010 EF44),2.18757658,0.887399147,38.2140719,234.7402325,174.183562,0.2463,4.13,3.24,20.2,0.016134,18,APO*,(2010 EF44)
(2010 EK44),2.8339051,0.772365526,11.2498403,107.5780167,180.7722321,0.6451,5.02,4.77,19.8,0.022505,23,APO*,(2010 EK44)
(2010 EC46),1.5445836,0.403627998,49.3197719,323.0737806,350.3265804,0.9211,2.17,1.92,20.1,0.029211,11,APO*,(2010 EC46)
(2010 FQ),1.52711075,0.356273033,10.5539144,359.4516784,140.4695375,0.983,2.07,1.89,20,0.003545,50,APO*,(2010 FQ)
(2010 FF10),2.37935096,0.631663549,5.0766859,105.2498424,166.2043916,0.8764,3.88,3.67,21.7,0.037802,18,APO*,(2010 FF10)
(2010 FC81),2.67903152,0.623479343,1.6826397,63.6520943,144.3286981,1.0087,4.35,4.39,21.8,0.02633,33,APO*,(2010 FC81)
(2010 FH81),1.22557597,0.210462588,16.7933508,158.2506054,84.6308403,0.9676,1.48,1.36,21.6,0.034885,24,APO*,(2010 FH81)
(2010 GS7),2.69080011,0.660092,9.1344419,56.8835025,190.9210538,0.9146,4.47,4.41,21.5,0.043797,31,APO*,(2010 GS7)
(2010 GT7),2.71416287,0.683254632,9.2701454,58.0614742,75.5878819,0.8597,4.57,4.47,20.2,0.029313,31,APO*,(2010 GT7)
(2010 GU21),2.18012454,0.563139419,3.1900982,200.9610544,57.2136409,0.9524,3.41,3.22,21.1,0.010725,48,APO*,(2010 GU21)
(2010 JG),1.19061509,0.319835326,23.3098719,292.0857265,49.7552825,0.8098,1.57,1.3,20.9,0.028664,26,APO*,(2010 JG)
(2010 JK33),2.23164625,0.60958459,4.0417757,289.7555762,28.6767398,0.8713,3.59,3.33,21.2,0.025432,20,APO*,(2010 JK33)
(2010 JL33),2.67431492,0.73877508,5.3638536,309.7202535,52.6864458,0.6986,4.65,4.37,17.7,0.032979,75,APO*,(2010 JL33)
(2010 JV34),1.72277777,0.543861127,7.2107875,86.9868402,225.373419,0.7858,2.66,2.26,20.8,0.038765,25,APO*,(2010 JV34)
(2010 JU39),0.91895966,0.546224291,36.2082728,311.3767351,95.1934394,0.417,1.42,0.88,19.6,0.004671,18,ATE*,(2010 JU39)
(2010 JJ41),1.07067108,0.670190175,3.2504729,29.1451479,50.373671,0.3531,1.79,1.11,21.8,0.022084,7,APO*,(2010 JJ41)
(2010 JN71),2.38310702,0.588965381,17.7244136,185.557281,62.4554876,0.9795,3.79,3.68,21.4,0.030752,29,APO*,(2010 JN71)
(2010 JE88),2.10920282,0.763842133,10.7898364,258.1730746,226.540988,0.4981,3.72,3.06,21.5,0.006829,14,APO*,(2010 JE88)
(2010 KQ10),2.37104769,0.666867067,6.6734312,286.6093234,244.956266,0.7899,3.95,3.65,21.4,0.020542,10,APO*,(2010 KQ10)
(2010 KR10),2.16902896,0.586071523,1.0463159,233.040856,94.4605066,0.8978,3.44,3.19,19.5,0.002044,35,APO*,(2010 KR10)
(2010 KB61),1.27485823,0.233654427,44.5993926,234.9644977,55.9525539,0.977,1.57,1.44,20.5,0.049987,16,APO*,(2010 KB61)
(2010 LK34),1.82528199,0.806086351,5.3319226,248.7975026,130.5294705,0.3539,3.3,2.47,21.9,0.007552,13,APO*,(2010 LK34)
(2010 LZ63),1.91866517,0.764759216,13.9449669,78.7492367,307.7098394,0.4513,3.39,2.66,20.1,0.013221,11,APO*,(2010 LZ63)
(2010 MF1),2.49888349,0.588602596,9.1047132,27.771924,287.0485901,1.028,3.97,3.95,19.6,0.04183,110,AMO*,(2010 MF1)
(2010 MU112),1.75608195,0.540361663,48.0297524,119.2084631,261.1396276,0.8072,2.71,2.33,20.7,1.5E-05,10,APO*,(2010 MU112)
(2010 ON101),1.62917496,0.408895502,9.3058579,8.0698797,251.6039652,0.963,2.3,2.08,20.2,0.044572,37,APO*,(2010 ON101)
(2010 PK9),0.68227282,0.675722363,12.5658256,195.6158223,306.5747114,0.2212,1.14,0.56,21.8,0.016257,17,ATE*,(2010 PK9)
(2010 PW58),0.88873406,0.211797277,14.2353216,130.9864219,324.469035,0.7005,1.08,0.84,21.7,0.02115,13,ATE*,(2010 PW58)
(2010 RA147),2.15854234,0.655439579,5.8156557,116.707257,8.3374875,0.7437,3.57,3.17,19.3,0.010481,31,APO*,(2010 RA147)
(2010 RF181),2.20861162,0.547036329,6.2480806,2.1530555,51.1621336,1.0004,3.42,3.28,20.7,0.011973,24,APO*,(2010 RF181)
(2010 SH13),1.20595274,0.136979939,13.8624788,10.9536307,190.606572,1.0408,1.37,1.32,21.2,0.043389,28,AMO*,(2010 SH13)
(2010 SC41),1.86448559,0.607577738,0.2476989,266.3911114,236.7380758,0.7317,3,2.55,19.8,0.001088,39,APO*,(2010 SC41)
(2010 TH19),1.46432986,0.310103641,6.8262876,201.4129553,254.2468474,1.0102,1.92,1.77,20.5,0.036861,37,APO*,(2010 TH19)
(2010 TP54),2.38796776,0.597300739,3.4731725,67.0347978,351.7478543,0.9616,3.81,3.69,21.7,0.039921,24,APO*,(2010 TP54)
(2010 TP55),2.34880619,0.669735861,3.3270309,69.4706898,232.8723341,0.7757,3.92,3.6,20.5,0.004311,18,APO*,(2010 TP55)
(2010 TS149),1.49786909,0.3902358,3.4253787,13.256659,128.1455275,0.9133,2.08,1.83,20,0.026792,22,APO*,(2010 TS149)
(2010 TU149),2.20144621,0.828359517,1.9715442,91.7143499,59.7150831,0.3779,4.03,3.27,20.7,0.011511,25,APO*,(2010 TU149)
(2010 TV149),1.69893116,0.518746213,9.8047949,42.7232621,78.7029099,0.8176,2.58,2.21,18.6,0.044626,41,APO*,(2010 TV149)
(2010 TX168),1.4824569,0.523339685,26.0087376,101.4909191,33.0050609,0.7066,2.26,1.81,20,0.021454,22,APO*,(2010 TX168)
(2010 UD),1.09756623,0.263930098,26.2877962,262.257492,23.767173,0.8079,1.39,1.15,21.1,0.014462,21,APO*,(2010 UD)
(2010 UG7),2.34752674,0.786002569,16.3499463,101.968963,25.9603634,0.5024,4.19,3.6,21.4,0.022393,5,APO*,(2010 UG7)
(2010 UQ7),2.45376187,0.678675033,4.5116849,76.4691002,236.9650664,0.7885,4.12,3.84,20.1,0.018035,32,APO*,(2010 UQ7)
(2010 US7),1.96893758,0.638376073,55.2377193,247.8951144,240.95523,0.712,3.23,2.76,19,0.04096,14,APO*,(2010 US7)
(2010 UK8),2.18476623,0.700426447,1.8684976,135.4412028,11.5422388,0.6545,3.72,3.23,19.9,0.019803,23,APO*,(2010 UK8)
(2010 VZ),2.44617058,0.591712965,8.4630125,215.5964479,181.9619314,0.9987,3.89,3.83,19.3,0.044804,28,APO*,(2010 VZ)
(2010 VG1),1.69793672,0.531596427,12.3619341,100.3605468,353.9784662,0.7953,2.6,2.21,20.6,0.049705,18,APO*,(2010 VG1)
(2010 VT11),1.75510045,0.611280654,2.4768719,65.664815,249.4762079,0.6822,2.83,2.33,21.5,0.012068,25,APO*,(2010 VT11)
(2010 VD72),0.91836736,0.181336375,19.1931281,310.2000281,224.1150313,0.7518,1.08,0.88,21.5,0.014252,13,ATE*,(2010 VD72)
(2010 WV8),2.12620266,0.672125593,8.437484,288.0836354,55.1761922,0.6971,3.56,3.1,21.9,0.00611,14,APO*,(2010 WV8)
(2010 WZ8),1.9728848,0.502640152,3.7078863,200.2091059,284.3387523,0.9812,2.96,2.77,20.7,0.0103,31,APO*,(2010 WZ8)
(2010 XC11),2.51620219,0.850154364,9.1055703,121.2373229,94.2589415,0.377,4.66,3.99,18.7,0.030197,26,APO*,(2010 XC11)
(2010 XC15),0.73509103,0.4165801,8.3836326,157.6330645,94.4828569,0.4289,1.04,0.63,21.4,0.002542,26,ATE*,(2010 XC15)
(2010 XB24),1.28574913,0.439105003,5.5304858,285.762889,263.4120237,0.7212,1.85,1.46,21.8,0.021389,18,APO*,(2010 XB24)
(2010 XC25),1.74319411,0.528219413,2.9768039,237.1543196,304.0376763,0.8224,2.66,2.3,20.9,0.001081,30,APO*,(2010 XC25)
(2010 XA68),1.15746318,0.301452278,59.2738611,107.4777367,74.3374108,0.8085,1.51,1.25,21.9,0.047357,11,APO*,(2010 XA68)
(2010 XP69),1.52448489,0.34322941,14.6063245,197.2713685,199.8613913,1.0012,2.05,1.88,21.4,0.015729,7,APO*,(2010 XP69)
(2010 YB),1.82165583,0.494909575,3.6018554,94.3177611,314.6215404,0.9201,2.72,2.46,20.7,0.046239,46,APO*,(2010 YB)
(2011 AM24),1.17871773,0.150065871,9.1332976,214.8769545,127.2212837,1.0018,1.36,1.28,20.5,0.010574,75,APO*,(2011 AM24)
(2011 AT26),2.41639529,0.699648301,1.7182519,122.6412212,245.3941956,0.7258,4.11,3.76,21.6,0.005843,6,APO*,(2011 AT26)
(2011 BX10),2.82954732,0.639274237,9.6996296,348.3477634,79.2018212,1.0207,4.64,4.76,18.2,0.041366,35,AMO*,(2011 BX10)
(2011 BY18),2.26488498,0.783395238,3.6456851,240.049876,135.2659194,0.4906,4.04,3.41,20.9,0.023224,16,APO*,(2011 BY18)
(2011 BE38),2.6276533,0.711399374,8.1579353,302.5419515,321.4113378,0.7583,4.5,4.26,18.3,0.021455,28,APO*,(2011 BE38)
(2011 BM45),1.91950787,0.803903448,5.3407494,62.6685797,302.7705535,0.3764,3.46,2.66,21.4,0.007453,11,APO*,(2011 BM45)
(2011 BO59),1.83009725,0.464190092,4.7501894,221.2798525,343.5902581,0.9806,2.68,2.48,21.2,0.027359,43,APO*,(2011 BO59)
(2011 BT59),2.49590068,0.948479465,3.5798883,303.0664284,38.9086822,0.1286,4.86,3.94,21,0.020584,7,APO*,(2011 BT59)
(2011 CG2),1.17752001,0.158545559,2.7570869,283.8323196,293.243604,0.9908,1.36,1.28,21.4,0.030109,68,APO*,(2011 CG2)
(2011 CT4),1.72537276,0.718725188,2.6466733,69.5076061,304.9394376,0.4853,2.97,2.27,20.5,0.00656,11,APO*,(2011 CT4)
(2011 CC22),1.12340748,0.114279162,34.9441818,171.1554239,130.3666093,0.995,1.25,1.19,21.4,0.019758,5,APO*,(2011 CC22)
(2011 CY46),2.14917763,0.611669871,11.5605376,221.1402613,11.1291667,0.8346,3.46,3.15,19.9,0.041847,37,APO*,(2011 CY46)
(2011 CB50),2.83142931,0.638310517,12.2576787,165.4345652,339.8904868,1.0241,4.64,4.76,20.8,0.043653,10,AMO*,(2011 CB50)
(2011 DV),0.95679261,0.049826986,10.594578,350.7375815,35.1438561,0.9091,1,0.94,20.6,0.002275,29,ATE*,(2011 DV)
(2011 DS9),2.6216291,0.642951885,3.6971127,146.2321006,93.361313,0.936,4.31,4.24,20.2,0.00359,41,APO*,(2011 DS9)
(2011 EL11),1.99681176,0.689951494,3.9176986,81.1611016,314.6557009,0.6191,3.37,2.82,19.8,0.00748,11,APO*,(2011 EL11)
(2011 EF17),2.34430935,0.742934125,4.2159664,282.2917014,3.9752449,0.6026,4.09,3.59,19.2,0.010558,16,APO*,(2011 EF17)
(2011 EG17),1.37986384,0.418737109,20.1123254,241.4866655,170.1620714,0.8021,1.96,1.62,20.6,0.043229,25,APO*,(2011 EG17)
(2011 EO40),1.65427255,0.540287152,3.3629041,17.0601916,50.2955732,0.7605,2.55,2.13,21.5,0.04795,7,APO*,(2011 EO40)
(2011 EL51),1.19101054,0.568421396,10.9685406,94.7863358,198.5308187,0.514,1.87,1.3,21.9,0.046801,8,APO*,(2011 EL51)
(2011 EO51),1.56420388,0.78581011,6.7599822,227.187161,175.2989898,0.335,2.79,1.96,21.1,0.025168,11,APO*,(2011 EO51)
(2011 GA),1.80297498,0.591174473,9.8302603,109.751703,200.4246896,0.7371,2.87,2.42,20.8,0.006349,19,APO*,(2011 GA)
(2011 GM44),0.78172207,0.518855242,49.3359188,37.5325039,10.840864,0.3761,1.19,0.69,19.5,0.023608,18,ATE*,(2011 GM44)
(2011 GN44),2.24460232,0.598674497,55.0194398,319.3712138,16.9537096,0.9008,3.59,3.36,18.3,0.006978,20,APO*,(2011 GN44)
(2011 GS60),3.36214647,0.922813581,18.7742965,304.9423926,140.4786521,0.2595,6.46,6.17,19,0.009062,14,APO*,(2011 GS60)
(2011 GQ61),1.59012731,0.412520398,65.1568089,155.0814689,333.5270471,0.9342,2.25,2.01,18.4,0.028725,17,APO*,(2011 GQ61)
(2011 JA),1.18437596,0.287296111,41.5970286,286.1270886,215.0315024,0.8441,1.52,1.29,21.3,0.000253,11,APO*,(2011 JA)
(2011 JD1),1.1115475,0.357454012,21.9365215,85.6267749,34.2807142,0.7142,1.51,1.17,21.7,0.006673,14,APO*,(2011 JD1)
(2011 JR13),1.29908634,0.725904822,24.684379,129.5372659,235.1244157,0.3561,2.24,1.48,19.5,0.046544,47,APO*,(2011 JR13)
(2011 KE),2.22582606,0.955015021,5.9002615,188.3744538,205.1827752,0.1001,4.35,3.32,19.8,0.042233,12,APO*,(2011 KE)
(2011 KU15),1.95663048,0.876376423,4.4053655,166.8388409,214.5231934,0.2419,3.67,2.74,21.8,0.047683,6,APO*,(2011 KU15)
(2011 KO17),2.40243449,0.575645783,4.0350753,308.709048,256.5346089,1.0195,3.79,3.72,20.2,0.04921,21,AMO*,(2011 KO17)
(2011 LL2),1.1339178,0.096326538,24.6762361,163.5702741,68.2604054,1.0247,1.24,1.21,20,0.014964,25,AMO*,(2011 LL2)
(2011 LT17),1.09968162,0.287408294,20.8969238,270.6154744,83.4772932,0.7836,1.42,1.15,21.6,0.002588,20,APO*,(2011 LT17)
(2011 LA19),2.91463679,0.651099032,19.2080989,202.7284447,97.9649324,1.0169,4.81,4.98,19.1,0.029874,48,APO*,(2011 LA19)
(2011 LC19),3.20347623,0.731215553,10.4819936,139.1111725,219.4876275,0.861,5.55,5.73,18.9,0.015026,72,APO*,(2011 LC19)
(2011 LJ19),2.6199488,0.620973495,1.5382885,30.3938427,296.5202741,0.993,4.25,4.24,21.4,0.005219,49,APO*,(2011 LJ19)
(2011 MU),1.34901484,0.665018072,7.2892313,281.7882545,100.0710242,0.4519,2.25,1.57,20.2,0.024597,12,APO*,(2011 MU)
(2011 OA),2.16000698,0.519311138,9.1482571,28.0830121,280.919697,1.0383,3.28,3.17,21.2,0.049345,24,AMO*,(2011 OA)
(2011 OB),0.903939,0.524090099,27.7441837,48.8835958,106.2649327,0.4302,1.38,0.86,19.3,0.009614,16,ATE*,(2011 OB)
(2011 OR15),1.65578687,0.443296825,5.0126262,251.0015552,146.1579966,0.9218,2.39,2.13,21,0.039298,24,APO*,(2011 OR15)
(2011 OV18),1.63060716,0.439266571,16.9272324,148.8939922,271.3396797,0.9143,2.35,2.08,19.7,0.023153,13,APO*,(2011 OV18)
(2011 PS),1.80664615,0.514722991,3.7388552,26.7039006,19.1585599,0.8767,2.74,2.43,20.4,0.026459,30,APO*,(2011 PS)
(2011 PO1),2.51377807,0.639109957,5.7190814,166.4265517,210.805753,0.9072,4.12,3.99,20.9,0.037841,24,APO*,(2011 PO1)
(2011 RJ1),2.5497647,0.590644111,6.7636075,345.3524544,7.4607267,1.0438,4.06,4.07,21.8,0.046734,21,AMO*,(2011 RJ1)
(2011 SR5),1.17819223,0.7057497,29.1092274,305.4930771,180.1796847,0.3467,2.01,1.28,20.7,0.000227,17,APO*,(2011 SR5)
(2011 SO32),1.72429847,0.476799907,9.9180304,243.4057609,198.8867346,0.9022,2.55,2.26,21.2,0.048062,34,APO*,(2011 SO32)
(2011 SM68),1.395788,0.664207292,19.2300336,109.0904484,24.1542058,0.4687,2.32,1.65,19.6,0.000366,30,APO*,(2011 SM68)
(2011 TK),2.46142077,0.646573089,7.7778861,122.1790526,328.4127105,0.8699,4.05,3.86,21.5,0.026325,19,APO*,(2011 TK)
(2011 TC4),1.49187093,0.719907752,3.1255577,309.0713718,200.9784923,0.4179,2.57,1.82,20.3,0.015404,22,APO*,(2011 TC4)
(2011 TX8),0.90959527,0.708442205,5.9724532,313.2576304,207.9367528,0.2652,1.55,0.87,21.8,0.012683,8,ATE*,(2011 TX8)
(2011 TN9),1.89882702,0.451671904,4.1043048,163.0804621,199.1861783,1.0412,2.76,2.62,21.3,0.044305,35,AMO*,(2011 TN9)
(2011 UG20),1.12177206,0.684682053,18.8657546,304.8987532,205.8627131,0.3537,1.89,1.19,21.4,0.005533,7,APO*,(2011 UG20)
(2011 UH20),1.23103018,0.335996023,35.7786847,257.1637948,21.6314005,0.8174,1.64,1.37,21,0.012187,14,APO*,(2011 UH20)
(2011 UT20),1.19062582,0.440751125,6.5610846,246.3822788,271.4144808,0.6659,1.72,1.3,20.5,0.032229,30,APO*,(2011 UT20)
(2011 UV63),1.19319516,0.134201991,9.7868084,189.7641555,13.7181507,1.0331,1.35,1.3,21.7,0.034121,21,AMO*,(2011 UV63)
(2011 UE305),2.42037255,0.67272294,4.7386004,52.4244814,304.2372211,0.7921,4.05,3.77,21.4,0.015284,24,APO*,(2011 UE305)
(2011 VU5),2.19647192,0.557400779,30.5385007,24.8761023,44.1230941,0.9722,3.42,3.26,20.3,0.014672,11,APO*,(2011 VU5)
(2011 WL2),1.07787061,0.28335378,14.130214,88.8228428,212.9434146,0.7725,1.38,1.12,20.8,0.002531,34,APO*,(2011 WL2)
(2011 WO4),1.73773482,0.497056515,60.9452703,236.0289292,225.2012812,0.874,2.6,2.29,19.2,0.03188,21,APO*,(2011 WO4)
(2011 WL15),1.35189407,0.281916813,18.3887769,170.6553416,72.9351359,0.9708,1.73,1.57,19.7,0.04033,24,APO*,(2011 WL15)
(2011 WN15),1.21651099,0.857829974,33.453067,218.5324719,75.5818507,0.173,2.26,1.34,19.6,0.002504,37,APO*,(2011 WN15)
(2011 WO41),3.01116461,0.732162566,20.0516678,125.1429082,112.2116949,0.8065,5.22,5.23,16.9,0.020635,22,APO*,(2011 WO41)
(2011 WN46),1.14598493,0.414685355,26.5841796,104.1080897,43.1064245,0.6708,1.62,1.23,21.1,0.045382,4,APO*,(2011 WN46)
(2011 WR46),2.46311084,0.894515292,4.865019,323.522827,240.5950691,0.2598,4.67,3.87,20,0.027898,12,APO*,(2011 WR46)
(2011 WV134),2.78316305,0.679186432,6.0470518,25.6680385,157.746719,0.8929,4.67,4.64,17.2,0.024505,107,APO*,(2011 WV134)
(2011 XM1),2.67394753,0.658812132,11.122767,162.7468401,263.0542519,0.9123,4.44,4.37,20,0.043189,18,APO*,(2011 XM1)
(2011 XA3),1.46660875,0.926025248,28.0071228,323.8852869,273.479069,0.1085,2.82,1.78,20.4,0.034358,14,APO*,(2011 XA3)
(2011 YE6),2.80730116,0.730845971,3.0625262,348.1692664,182.1105712,0.7556,4.86,4.7,20.8,0.043831,12,APO*,(2011 YE6)
(2011 YG6),1.16452701,0.29899303,28.0556566,267.3179023,92.847976,0.8163,1.51,1.26,21.1,0.025178,23,APO*,(2011 YG6)
(2011 YH28),2.62512649,0.712282558,8.6219963,287.2944537,285.5679364,0.7553,4.49,4.25,20.4,0.013363,15,APO*,(2011 YH28)
(2011 YJ28),1.05978905,0.09255766,27.0726408,306.0079032,290.1201755,0.9617,1.16,1.09,21.3,0.019188,17,APO*,(2011 YJ28)
(2011 YV62),1.63646964,0.599831216,7.7860108,85.2773125,243.9132003,0.6549,2.62,2.09,21.3,0.003263,8,APO*,(2011 YV62)
